(.ID.  algorithm  localsearch  alpha  beta  rho  ants  q0  rasrank  elitistants  nnls  dlb  statusElite  iteration  eliteResults) (.ID.  algorithm  localsearch  alpha  beta  rho  ants  q0  rasrank  elitistants  nnls  dlb  statusNew  iteration  newResults)
(134  ras  3  2.6647  6.7745  0.3707  23  NA  20  NA  8  0  e  4  33140224.8888889) (155  ras  3  3.1656  6.7893  0.284  19  NA  33  NA  9  1  ne  4  33111676.8)
(134  ras  3  2.6647  6.7745  0.3707  23  NA  20  NA  8  0  e  4  33140224.8888889) (160  ras  3  2.2087  4.7813  0.2734  32  NA  32  NA  7  0  ne  4  33167066.8)
(134  ras  3  2.6647  6.7745  0.3707  23  NA  20  NA  8  0  e  4  33140224.8888889) (165  ras  3  2.5109  3.9202  0.3123  22  NA  27  NA  11  0  ne  4  33134302)
(134  ras  3  2.6647  6.7745  0.3707  23  NA  20  NA  8  0  e  4  33140224.8888889) (178  ras  3  3.5075  6.4741  0.3614  6  NA  28  NA  17  1  ne  4  33063421.5555556)
(110  ras  3  3.4912  3.3393  0.3591  29  NA  14  NA  12  1  e  4  33097919.1111111) (162  ras  3  2.4519  4.5803  0.3534  52  NA  39  NA  14  1  ne  4  33168611.2)
(110  ras  3  3.4912  3.3393  0.3591  29  NA  14  NA  12  1  e  4  33097919.1111111) (166  eas  3  3.2574  2.1761  0.4795  71  NA  NA  577  6  1  ne  4  33629104.8)
(110  ras  3  3.4912  3.3393  0.3591  29  NA  14  NA  12  1  e  4  33097919.1111111) (171  ras  1  3.7923  2.2616  0.2243  13  NA  32  NA  18  1  ne  4  33670664.4)
(103  as  3  4.8196  9.6206  0.1607  7  NA  NA  NA  18  1  e  5  33037265.4) (180  as  3  4.8013  9.8793  0.1995  19  NA  NA  NA  21  1  ne  5  33197042.4)
(103  as  3  4.8196  9.6206  0.1607  7  NA  NA  NA  18  1  e  5  33037265.4) (185  as  3  4.0805  7.3887  0.0961  31  NA  NA  NA  16  1  ne  5  33165521.6)
(103  as  3  4.8196  9.6206  0.1607  7  NA  NA  NA  18  1  e  5  33037265.4) (189  as  3  4.1046  9.7486  0.0531  14  NA  NA  NA  16  1  ne  5  33254703.8)
(103  as  3  4.8196  9.6206  0.1607  7  NA  NA  NA  18  1  e  5  33037265.4) (192  as  3  4.2903  8.2951  0.2269  6  NA  NA  NA  13  1  ne  5  33105657.4)
(103  as  3  4.8196  9.6206  0.1607  7  NA  NA  NA  18  1  e  5  33037265.4) (193  as  3  4.0845  7.3183  0.1195  7  NA  NA  NA  23  1  ne  5  33135642.4)
(103  as  3  4.8196  9.6206  0.1607  7  NA  NA  NA  18  1  e  5  33037265.4) (198  as  3  4.8184  7.3595  0.0982  12  NA  NA  NA  21  1  ne  5  33147553)
(103  as  3  4.8196  9.6206  0.1607  7  NA  NA  NA  18  1  e  5  33037265.4) (199  as  3  4.1901  8.643  0.0455  8  NA  NA  NA  23  1  ne  5  33236551.4)
(103  as  3  4.8196  9.6206  0.1607  7  NA  NA  NA  18  1  e  5  33037265.4) (201  as  3  4.7024  8.3187  0.2489  10  NA  NA  NA  21  1  ne  5  33098431.4)
