Run Fitness1 Solution1 Elite1 Iteration1 Fitness2 Solution2 Elite2 Iteration2
1 454835.60 3043029 T 2 2771324.89 3033017 F 3
1 454835.60 3043029 T 2 1609510.67 3049015 T 3
1 454835.60 3043029 T 2 4690128.40 1037027 F 3
1 454835.60 3043029 T 2 4680652.00 0043027 F 3
1 454835.60 3043029 T 2 3632407.78 2053035 F 3
1 454835.60 3043029 T 2 3260216.80 1033025 F 3
1 454835.60 3043029 T 2 1864317.20 1039005 F 3
1 454835.60 3043029 T 2 2764853.78 3045025 F 3
1 454835.60 3043029 T 2 2381824.18 3057021 F 3
1 454835.60 3043029 T 2 4670907.60 1035043 F 3
1 454835.60 3043029 T 2 3479378.43 3033023 T 3
1 454835.60 3043029 T 2 457002.00 3045023 F 3
1 454835.60 3043029 T 2 457186.00 3045031 F 3
1 454835.60 3043029 T 2 4671540.00 1035027 F 3
1 454835.60 3043029 T 2 3626702.73 3037031 F 3
1 454835.60 3043029 T 2 2778602.00 2045017 F 3
1 454835.60 3043029 T 2 4668079.60 2039041 F 3
1 454835.60 3043029 T 2 3631138.18 3045035 F 3
1 454835.60 3043029 T 2 4691379.60 0053035 F 3
1 454835.60 3043029 T 2 3299938.80 3039027 F 3
1 454835.60 3043029 T 2 2380782.36 3045015 T 3
1 454835.60 3043029 T 2 3621528.00 3049047 F 3
1 454835.60 3043029 T 2 454835.60 3043029 T 3
1 454835.60 3043029 T 2 3056481.50 3047033 F 3
1 454835.60 3043029 T 2 4670185.60 1045031 F 3
1 454835.60 3043029 T 2 3050288.25 3039029 F 3
1 454835.60 3043029 T 2 3219025.20 3055033 F 3
1 454835.60 3043029 T 2 3301164.20 3033039 F 3
1 454835.60 3043029 T 2 458223.20 3049039 F 3
1 454835.60 3043029 T 2 3625668.73 3035023 F 3
1 454835.60 3043029 T 2 4689388.40 0047027 F 3
1 454835.60 3043029 T 2 4303234.18 3063035 F 3
1 454835.60 3043029 T 2 3303826.80 3043031 F 3
1 454835.60 3043029 T 2 3629296.18 3039023 F 3
1 454835.60 3043029 T 2 4698556.40 0055017 F 3
1 454835.60 3043029 T 2 458223.20 3049039 F 3
1 454835.60 3043029 T 2 2783456.44 2047013 F 3
1 454835.60 3043029 T 2 4658438.00 3057043 F 3
1 454835.60 3043029 T 2 4695652.40 1051041 F 3
1 454835.60 3043029 T 2 3219025.20 3055033 F 3
1 454835.60 3043029 T 2 3626240.73 3041033 F 3
1 454835.60 3043029 T 2 3481050.14 3037025 F 3
1 454835.60 3043029 T 2 4677212.80 0037031 F 3
1 454835.60 3043029 T 2 4065107.00 0037033 F 3
1 454835.60 3043029 T 2 4687074.00 1045025 F 3
1 454835.60 3043029 T 2 3052442.50 3049035 F 3
1 454835.60 3043029 T 2 2788112.22 1049031 F 3
1 454835.60 3043029 T 2 3047715.00 3043027 T 3
1 454835.60 3043029 T 2 3219025.20 3055033 F 3
1 454835.60 3043029 T 2 4694637.20 0067045 F 3
1 454835.60 3043029 T 2 2767263.56 3045021 F 3
1 454835.60 3043029 T 2 2820959.17 3047019 T 3
1 454835.60 3043029 T 2 3625560.91 3053037 F 3
1 454835.60 3043029 T 2 3237338.00 3049029 F 3
1 454835.60 3043029 T 2 4059870.67 2033029 F 3
1 454835.60 3043029 T 2 4229987.85 3039039 F 3
1 454835.60 3043029 T 2 4673161.20 1023021 F 3
1 454835.60 3043029 T 2 1655544.33 0059015 F 3
1 454835.60 3043029 T 2 3156452.46 3043021 F 3
1 454835.60 3043029 T 2 3056481.50 3047033 F 3
1 454835.60 3043029 T 2 3676461.54 3031019 F 3
1 454835.60 3043029 T 2 425092.40 3039025 F 3
1 454835.60 3043029 T 2 4350946.67 3051025 F 3
1 454835.60 3043029 T 2 3628242.91 3031037 F 3
1 454835.60 3043029 T 2 2820088.00 3049027 T 3
1 454835.60 3043029 T 2 3050729.00 3041025 F 3
1 454835.60 3043029 T 2 1850641.20 3049023 F 3
1 454835.60 3043029 T 2 2820959.17 3047019 T 3
1 454835.60 3043029 T 2 4667298.80 1041029 F 3
1 3625044.55 3019035 T 2 4669074.00 1019033 F 3
1 3625044.55 3019035 T 2 4653932.80 3006033 F 3
1 3625044.55 3019035 T 2 3242059.60 3027027 F 3
